% This file contains dummy values for a thirtheenth row/column of chips. These
% are included as a bodge to make pgfplots produce actual heatmaps...
chip_x	chip_y	injected	extracted	dumped	routed	inj_rate	inj_period	pattern
1	9	25401	1492	20573	28877	0.500000	32	transpose
2	9	9655	3398	19746	38624	0.500000	32	transpose
3	9	12061	77	18021	48243	0.500000	32	transpose
4	9	19562	1695	15871	57961	0.500000	32	transpose
5	9	31720	2196	15739	36967	0.500000	32	transpose
6	9	15948	2450	15942	36315	0.500000	32	transpose
7	9	15970	2081	16188	35544	0.500000	32	transpose
8	9	15768	19050	13684	62074	0.500000	32	transpose
9	9	17862	17862	8692	66252	0.500000	32	transpose
10	9	23800	4717	7872	47599	0.500000	32	transpose
11	9	17050	2440	14840	34099	0.500000	32	transpose
12	9	0	0	0	0	0	0	0

0	10	17498	2890	14793	34997	0.500000	32	transpose
1	10	28346	3078	16477	31426	0.500000	32	transpose
2	10	25288	3553	19990	32317	0.500000	32	transpose
3	10	10596	3045	19473	42386	0.500000	32	transpose
4	10	12947	18	16944	50329	0.500000	32	transpose
5	10	27267	786	14755	71110	0.500000	32	transpose
6	10	31254	1934	15278	38342	0.500000	32	transpose
7	10	15978	818	16453	33461	0.500000	32	transpose
8	10	15502	6708	15711	42493	0.500000	32	transpose
9	10	15292	18937	14313	61095	0.500000	32	transpose
10	10	16272	16271	7541	63086	0.500000	32	transpose
11	10	23760	4539	7793	47521	0.500000	32	transpose
12	10	0	0	0	0	0	0	0

0	11	24966	5775	7989	49932	0.500000	32	transpose
1	11	17535	3033	15680	35072	0.500000	32	transpose
2	11	28089	2751	16666	30840	0.500000	32	transpose
3	11	25652	4661	19494	37341	0.500000	32	transpose
4	11	12313	1542	16853	49255	0.500000	32	transpose
5	11	14923	6	16648	59688	0.500000	32	transpose
6	11	19721	904	16885	59952	0.500000	32	transpose
7	11	31419	691	15660	39446	0.500000	32	transpose
8	11	15736	4784	16199	36278	0.500000	32	transpose
9	11	15294	6760	15546	42164	0.500000	32	transpose
10	11	15042	18923	14232	60170	0.500000	32	transpose
11	11	15854	15854	7262	62246	0.500000	32	transpose
12	11	0	0	0	0	0	0	0

0	12	0	0	0	0	0	0	0
1	12	0	0	0	0	0	0	0
2	12	0	0	0	0	0	0	0
3	12	0	0	0	0	0	0	0
4	12	0	0	0	0	0	0	0
5	12	0	0	0	0	0	0	0
6	12	0	0	0	0	0	0	0
7	12	0	0	0	0	0	0	0
8	12	0	0	0	0	0	0	0
9	12	0	0	0	0	0	0	0
10	12	0	0	0	0	0	0	0
11	12	0	0	0	0	0	0	0
12	12	0	0	0	0	0	0	0
