% This file contains dummy values for a thirtheenth row/column of chips. These
% are included as a bodge to make pgfplots produce actual heatmaps...
chip_x	chip_y	dropped	injected	routed	received	inj_rate	inj_period	pattern
5	9	675	1380	4765	716	0.800000	20	cyclic
6	9	691	1327	4634	709	0.800000	20	cyclic
7	9	677	1388	4690	679	0.800000	20	cyclic
8	9	701	1385	4677	735	0.800000	20	cyclic
9	9	655	1374	4732	753	0.800000	20	cyclic
10	9	679	1410	4670	762	0.800000	20	cyclic
11	9	642	1534	4850	786	0.800000	20	cyclic
12	9	0	0	0	0	0	0	0

0	10	654	1491	4956	785	0.800000	20	cyclic
1	10	635	1400	4879	799	0.800000	20	cyclic
2	10	673	1383	4707	744	0.800000	20	cyclic
3	10	669	1373	4768	727	0.800000	20	cyclic
4	10	662	1396	4792	750	0.800000	20	cyclic
5	10	658	1342	4670	712	0.800000	20	cyclic
6	10	691	1348	4620	723	0.800000	20	cyclic
7	10	641	1387	4857	697	0.800000	20	cyclic
8	10	671	1338	4799	742	0.800000	20	cyclic
9	10	670	1376	4809	730	0.800000	20	cyclic
10	10	669	1455	4759	776	0.800000	20	cyclic
11	10	667	1419	4625	787	0.800000	20	cyclic
12	10	0	0	0	0	0	0	0

0	11	637	1495	4762	761	0.800000	20	cyclic
1	11	662	1460	4983	743	0.800000	20	cyclic
2	11	656	1444	4840	773	0.800000	20	cyclic
3	11	648	1433	4844	735	0.800000	20	cyclic
4	11	672	1385	4802	766	0.800000	20	cyclic
5	11	684	1399	4819	708	0.800000	20	cyclic
6	11	664	1361	4683	742	0.800000	20	cyclic
7	11	672	1397	4740	738	0.800000	20	cyclic
8	11	661	1337	4728	746	0.800000	20	cyclic
9	11	665	1481	4810	736	0.800000	20	cyclic
10	11	683	1480	4844	771	0.800000	20	cyclic
11	11	645	1621	5082	814	0.800000	20	cyclic
12	11	0	0	0	0	0	0	0

0	12	0	0	0	0	0	0	0
1	12	0	0	0	0	0	0	0
2	12	0	0	0	0	0	0	0
3	12	0	0	0	0	0	0	0
4	12	0	0	0	0	0	0	0
5	12	0	0	0	0	0	0	0
6	12	0	0	0	0	0	0	0
7	12	0	0	0	0	0	0	0
8	12	0	0	0	0	0	0	0
9	12	0	0	0	0	0	0	0
10	12	0	0	0	0	0	0	0
11	12	0	0	0	0	0	0	0
12	12	0	0	0	0	0	0	0
