chip_x	chip_y	injected	extracted	dumped	routed	inj_rate	inj_period	pattern
11	8	32436	16727	14482	122095	0.800000	20	cyclic
12	8	0	0	0	0	0	0	0

0	9	32564	16616	14455	122360	0.800000	20	cyclic
1	9	32100	16900	14258	124305	0.800000	20	cyclic
2	9	31888	16390	14287	122627	0.800000	20	cyclic
3	9	30081	15763	14538	115455	0.800000	20	cyclic
4	9	28213	14614	14856	108186	0.800000	20	cyclic
5	9	29112	14801	14844	113249	0.800000	20	cyclic
6	9	29319	14567	14667	113613	0.800000	20	cyclic
7	9	29185	14661	14723	113841	0.800000	20	cyclic
8	9	30104	15378	14564	115204	0.800000	20	cyclic
9	9	28823	15536	14605	111336	0.800000	20	cyclic
10	9	31666	16470	14435	115000	0.800000	20	cyclic
11	9	32862	16897	14409	121471	0.800000	20	cyclic
12	9	0	0	0	0	0	0	0

0	10	31005	16413	14629	118474	0.800000	20	cyclic
1	10	31966	16927	14344	122230	0.800000	20	cyclic
2	10	31692	16774	14284	121876	0.800000	20	cyclic
3	10	30127	15674	14490	114529	0.800000	20	cyclic
4	10	28436	14939	14884	108893	0.800000	20	cyclic
5	10	29599	15097	14569	114770	0.800000	20	cyclic
6	10	29711	15064	14926	115691	0.800000	20	cyclic
7	10	30234	15162	14613	117069	0.800000	20	cyclic
8	10	30040	15842	14875	117042	0.800000	20	cyclic
9	10	31634	16373	14494	118651	0.800000	20	cyclic
10	10	29649	16347	14566	113169	0.800000	20	cyclic
11	10	33176	16920	14336	117216	0.800000	20	cyclic
12	10	0	0	0	0	0	0	0

0	11	30799	16242	14330	112950	0.800000	20	cyclic
1	11	29404	16438	14601	114765	0.800000	20	cyclic
2	11	29196	16123	14680	113854	0.800000	20	cyclic
3	11	27884	15672	14474	110397	0.800000	20	cyclic
4	11	29309	15155	14519	110193	0.800000	20	cyclic
5	11	29640	15193	14775	115178	0.800000	20	cyclic
6	11	30158	15452	14791	117027	0.800000	20	cyclic
7	11	31682	15943	14440	120927	0.800000	20	cyclic
8	11	31132	16135	14813	120412	0.800000	20	cyclic
9	11	31962	16738	14566	121212	0.800000	20	cyclic
10	11	30983	16843	14733	118252	0.800000	20	cyclic
11	11	31255	16956	14470	116104	0.800000	20	cyclic
12	11	0	0	0	0	0	0	0

0	12	0	0	0	0	0	0	0
1	12	0	0	0	0	0	0	0
2	12	0	0	0	0	0	0	0
