% This file contains dummy values for a thirtheenth row/column of chips. These
% are included as a bodge to make pgfplots produce actual heatmaps...
chip_x	chip_y	dropped	injected	routed	received	inj_rate	inj_period	pattern
7	10	0	750	1500	750	0.200000	80	complement
8	10	0	750	1500	750	0.200000	80	complement
9	10	0	750	2250	750	0.200000	80	complement
10	10	0	750	6750	750	0.200000	80	complement
11	10	0	750	6751	750	0.200000	80	complement
12	10	0	0	0	0	0	0	0

0	11	0	750	9000	750	0.200000	80	complement
1	11	0	750	5250	750	0.200000	80	complement
2	11	0	750	1500	750	0.200000	80	complement
3	11	0	750	3000	750	0.200000	80	complement
4	11	0	750	8250	750	0.200000	80	complement
5	11	0	750	11252	750	0.200000	80	complement
6	11	0	750	10500	750	0.200000	80	complement
7	11	0	750	5250	750	0.200000	80	complement
8	11	0	750	1500	750	0.200000	80	complement
9	11	0	750	3000	750	0.200000	80	complement
10	11	0	750	6752	750	0.200000	80	complement
11	11	0	750	11250	750	0.200000	80	complement
12	11	0	0	0	0	0	0	0

0	12	0	0	0	0	0	0	0
1	12	0	0	0	0	0	0	0
2	12	0	0	0	0	0	0	0
3	12	0	0	0	0	0	0	0
4	12	0	0	0	0	0	0	0
5	12	0	0	0	0	0	0	0
6	12	0	0	0	0	0	0	0
7	12	0	0	0	0	0	0	0
8	12	0	0	0	0	0	0	0
9	12	0	0	0	0	0	0	0
10	12	0	0	0	0	0	0	0
11	12	0	0	0	0	0	0	0
12	12	0	0	0	0	0	0	0
