% This file contains dummy values for a thirtheenth row/column of chips. These
% are included as a bodge to make pgfplots produce actual heatmaps...
chip_x	chip_y	injected	extracted	dumped	routed	inj_rate	inj_period	pattern
5	9	7510	7510	0	90120	0.100000	160	tornado
6	9	7510	7510	0	90120	0.100000	160	tornado
7	9	7510	7510	0	75100	0.100000	160	tornado
8	9	7510	7510	0	60080	0.100000	160	tornado
9	9	7510	7510	0	45060	0.100000	160	tornado
10	9	7510	7510	0	30040	0.100000	160	tornado
11	9	7510	7510	0	15020	0.100000	160	tornado
12	9	0	0	0	0	0	0	0

0	10	7510	7510	0	15020	0.100000	160	tornado
1	10	7510	7510	0	30040	0.100000	160	tornado
2	10	7510	7510	0	45060	0.100000	160	tornado
3	10	7510	7510	0	60078	0.100000	160	tornado
4	10	7510	7510	0	75094	0.100000	160	tornado
5	10	7510	7510	0	90120	0.100000	160	tornado
6	10	7510	7510	0	90120	0.100000	160	tornado
7	10	7510	7510	0	75100	0.100000	160	tornado
8	10	7510	7510	0	60080	0.100000	160	tornado
9	10	7510	7510	0	45060	0.100000	160	tornado
10	10	7510	7510	0	30040	0.100000	160	tornado
11	10	7510	7510	0	15020	0.100000	160	tornado
12	10	0	0	0	0	0	0	0

0	11	7510	7510	0	15020	0.100000	160	tornado
1	11	7510	7510	0	30040	0.100000	160	tornado
2	11	7510	7510	0	45060	0.100000	160	tornado
3	11	7510	7510	0	60080	0.100000	160	tornado
4	11	7510	7510	0	75094	0.100000	160	tornado
5	11	7510	7510	0	90120	0.100000	160	tornado
6	11	7510	7510	0	90120	0.100000	160	tornado
7	11	7510	7510	0	75100	0.100000	160	tornado
8	11	7510	7510	0	60080	0.100000	160	tornado
9	11	7510	7510	0	45060	0.100000	160	tornado
10	11	7510	7510	0	30040	0.100000	160	tornado
11	11	7510	7510	0	15020	0.100000	160	tornado
12	11	0	0	0	0	0	0	0

0	12	0	0	0	0	0	0	0
1	12	0	0	0	0	0	0	0
2	12	0	0	0	0	0	0	0
3	12	0	0	0	0	0	0	0
4	12	0	0	0	0	0	0	0
5	12	0	0	0	0	0	0	0
6	12	0	0	0	0	0	0	0
7	12	0	0	0	0	0	0	0
8	12	0	0	0	0	0	0	0
9	12	0	0	0	0	0	0	0
10	12	0	0	0	0	0	0	0
11	12	0	0	0	0	0	0	0
12	12	0	0	0	0	0	0	0
