% This file contains dummy values for a thirtheenth row/column of chips. These
% are included as a bodge to make pgfplots produce actual heatmaps...
group	sample	distribution	allow_local	periodic_interval	node_x	node_y	packets_accepted	packets_arrived	packets_dropped	packets_forwarded
176	1	transpose	True	32	3	9	610	1	879	1561
176	1	transpose	True	32	4	9	1476	74	603	2993
176	1	transpose	True	32	5	9	1875	98	772	1350
176	1	transpose	True	32	6	9	1103	143	1095	1318
176	1	transpose	True	32	7	9	1111	542	1111	1868
176	1	transpose	True	32	8	9	1111	1454	1111	3333
176	1	transpose	True	32	9	9	1111	1111	328	4115
176	1	transpose	True	32	10	9	1555	0	398	2713
176	1	transpose	True	32	11	9	1050	0	796	1303
0	0	0	0	0	12	9	0	0	0	0

176	1	transpose	True	32	0	10	1048	0	790	1306
176	1	transpose	True	32	1	10	1448	521	924	1045
176	1	transpose	True	32	2	10	1300	287	1047	837
176	1	transpose	True	32	3	10	509	79	989	1047
176	1	transpose	True	32	4	10	631	1	902	1625
176	1	transpose	True	32	5	10	1049	32	706	2691
176	1	transpose	True	32	6	10	1875	64	770	1397
176	1	transpose	True	32	7	10	1105	132	1098	1327
176	1	transpose	True	32	8	10	1111	549	1111	1879
176	1	transpose	True	32	9	10	1111	1459	1111	3333
176	1	transpose	True	32	10	10	1111	1111	333	4112
176	1	transpose	True	32	11	10	1564	0	379	2749
0	0	0	0	0	12	10	0	0	0	0

176	1	transpose	True	32	0	11	1568	0	390	2746
176	1	transpose	True	32	1	11	1042	0	779	1305
176	1	transpose	True	32	2	11	1446	518	925	1039
176	1	transpose	True	32	3	11	1302	233	993	1127
176	1	transpose	True	32	4	11	620	197	898	1581
176	1	transpose	True	32	5	11	689	0	729	2027
176	1	transpose	True	32	6	11	965	37	846	2077
176	1	transpose	True	32	7	11	1875	84	769	1506
176	1	transpose	True	32	8	11	1106	219	1100	1330
176	1	transpose	True	32	9	11	1111	512	1111	1874
176	1	transpose	True	32	10	11	1111	1466	1111	3333
176	1	transpose	True	32	11	11	1111	1111	329	4115
0	0	0	0	0	12	11	0	0	0	0

0	0	0	0	0	0	12	0	0	0	0
0	0	0	0	0	1	12	0	0	0	0
0	0	0	0	0	2	12	0	0	0	0
0	0	0	0	0	3	12	0	0	0	0
0	0	0	0	0	4	12	0	0	0	0
0	0	0	0	0	5	12	0	0	0	0
0	0	0	0	0	6	12	0	0	0	0
0	0	0	0	0	7	12	0	0	0	0
0	0	0	0	0	8	12	0	0	0	0
0	0	0	0	0	9	12	0	0	0	0
0	0	0	0	0	10	12	0	0	0	0
0	0	0	0	0	11	12	0	0	0	0
0	0	0	0	0	12	12	0	0	0	0
