simulator	traffic_pattern	injection_rate	accepted_load	dropped
fpga	cyclic	0.200	0.2000148148	0
fpga	cyclic	0.160	0.1599925926	0
fpga	cyclic	0.133	0.1333592593	0
				
spinnaker	cyclic	0.05	0.0499996296	1.66666666666667E-005
spinnaker	cyclic	0.1	0.1000507407	5.55185431934266E-006
spinnaker	cyclic	0.2	0.200157963	0.0002109002
spinnaker	cyclic	0.3	0.2921472222	0.0262153946
spinnaker	cyclic	0.35	0.3499036111	0.0001447261
spinnaker	cyclic	0.4	0.4008000926	8.54741923381858E-006
spinnaker	cyclic	0.45	0.214215463	0.473120202
spinnaker	cyclic	0.5	0.2135238889	0.4750172305
spinnaker	cyclic	0.55	0.2104836111	0.4797351806
spinnaker	cyclic	0.6	0.2099689815	0.4797351806
spinnaker	cyclic	0.7	0.2102394444	0.4807984898
spinnaker	cyclic	0.8	0.2088505556	0.4804564155
				
				
tickysim	transpose	0.01	0.0101333333	0
tickysim	transpose	0.02	0.02	0
tickysim	transpose	0.0300187617	0.0299777778	0
tickysim	transpose	0.04	0.04	0
tickysim	transpose	0.05	0.0499777778	0
tickysim	transpose	0.0599250936	0.0599777778	0
tickysim	transpose	0.0698689956	0.0698666667	0
tickysim	transpose	0.08	0.08	0
tickysim	transpose	0.0898876404	0.0898666667	0
tickysim	transpose	0.1	0.1	0
tickysim	transpose	0.1103448276	0.1102722222	0
tickysim	transpose	0.1203007519	0.1202666667	0
tickysim	transpose	0.1300813008	0.1300888889	0
tickysim	transpose	0.1403508772	0.1403777778	0
tickysim	transpose	0.1495327103	0.1495518519	0
tickysim	transpose	0.16	0.16	0
tickysim	transpose	0.170212766	0.1558777778	0.0843983655
tickysim	transpose	0.1797752809	0.1380203704	0.231099417
tickysim	transpose	0.1904761905	0.143187037	0.2406248465
tickysim	transpose	0.2	0.1494351852	0.2415747232
tickysim	transpose	0.2105263158	0.1563759259	0.2400748154
tickysim	transpose	0.2191780822	0.1621814815	0.2372668861
tickysim	transpose	0.2285714286	0.1688925926	0.2353350667
tickysim	transpose	0.2388059701	0.1760722222	0.2315814134
tickysim	transpose	0.25	0.1835833333	0.2295803337
tickysim	transpose	0.2580645161	0.0746907407	0.665204157
tickysim	transpose	0.2711864407	0.0856981481	0.6446427611
tickysim	transpose	0.2807017544	0.0874759259	0.6455361027
tickysim	transpose	0.2909090909	0.081312963	0.667564908
tickysim	transpose	0.3018867925	0.0791351852	0.6814012236
tickysim	transpose	0.3076923077	0.0874240741	0.6643591238
tickysim	transpose	0.32	0.0784518519	0.6918061892
tickysim	transpose	0.3333333333	0.0838611111	0.6816120482
tickysim	transpose	0.3404255319	0.0860222222	0.6803410686
tickysim	transpose	0.347826087	0.0872407407	0.6795710923
tickysim	transpose	0.3636363636	0.0766333333	0.7114958545
tickysim	transpose	0.3720930233	0.0770407407	0.710879295
tickysim	transpose	0.380952381	0.0732555556	0.7228122568
tickysim	transpose	0.3902439024	0.0743296296	0.7227758351
tickysim	transpose	0.4	0.0715148148	0.7291764524
tickysim	transpose	0.4102564103	0.0734888889	0.7281731751
tickysim	transpose	0.4210526316	0.085887037	0.7023511435
tickysim	transpose	0.4324324324	0.0730166667	0.7282061898
tickysim	transpose	0.4444444444	0.0722	0.7300311526
tickysim	transpose	0.4571428571	0.0720074074	0.7348590205
tickysim	transpose	0.4705882353	0.0641814815	0.7482202528
tickysim	transpose	0.4848484848	0.0953296296	0.696748116
tickysim	transpose	0.5	0.0948925926	0.6990181801
tickysim	transpose	0.5161290323	0.0950074074	0.6988973458
tickysim	transpose	0.5333333333	0.0951296296	0.700722274
tickysim	transpose	0.5517241379	0.1026462963	0.6618007986
tickysim	transpose	0.5714285714	0.0948574074	0.7035794054
tickysim	transpose	0.5925925926	0.0956833333	0.6915079128
tickysim	transpose	0.6153846154	0.1025462963	0.6645914585
tickysim	transpose	0.64	0.0643814815	0.7480546793
tickysim	transpose	0.6666666667	0.0680444444	0.7222192811
tickysim	transpose	0.6956521739	0.0949037037	0.701857641
tickysim	transpose	0.7272727273	0.0643092593	0.7478030358
tickysim	transpose	0.7619047619	0.0964407407	0.6999677694
tickysim	transpose	0.8	0.0965481481	0.7089931732
tickysim	transpose	0.8421052632	0.09505	0.7010448578
tickysim	transpose	0.8888888889	0.0956462963	0.694079454
tickysim	transpose	0.9411764706	0.0963462963	0.699878283
tickysim	transpose	1	0.0964648148	0.6998224927
				
insee	transpose	0.05	0.04584	0.000001
insee	transpose	0.1	0.09168	0.000057
insee	transpose	0.12	0.10952	0.004512
insee	transpose	0.14	0.10873	0.152721
insee	transpose	0.15	0.1115	0.18912
insee	transpose	0.16	0.11495	0.216203
insee	transpose	0.18	0.08669	0.474503
insee	transpose	0.2	0.07193	0.606681
insee	transpose	0.25	0.05406	0.758396
insee	transpose	0.3	0.03758	0.854123
insee	transpose	0.35	0.03349	0.878253
insee	transpose	0.4	0.03312	0.884267
insee	transpose	0.45	0.0331	0.885446
insee	transpose	0.5	0.0331	0.885524
insee	transpose	0.55	0.0331	0.885506
insee	transpose	0.6	0.0331	0.88551
insee	transpose	0.65	0.0331	0.885494
insee	transpose	0.7	0.0331	0.885491
insee	transpose	0.75	0.0331	0.885519
insee	transpose	0.8	0.0331	0.885494
insee	transpose	0.9	0.03309	0.885527
				
fpga	transpose	1	0.0963351852	0.6994171044
fpga	transpose	0.8888888889	0.0957222222	0.6948717645
fpga	transpose	0.8	0.0949481481	0.7033950671
fpga	transpose	0.6956521739	0.0939962963	0.7012622966
fpga	transpose	0.5925925926	0.0953296296	0.6914572924
fpga	transpose	0.5	0.0951185185	0.6995986343
fpga	transpose	0.4	0.0921148148	0.6857563243
fpga	transpose	0.3720930233	0.0957055556	0.6663874588
fpga	transpose	0.3404255319	0.0949722222	0.6563933371
fpga	transpose	0.32	0.0960425926	0.6494270482
fpga	transpose	0.3018867925	0.096312963	0.635103585
fpga	transpose	0.2711864407	0.0983018519	0.6103371606
fpga	transpose	0.2580645161	0.0927611111	0.6101416172
fpga	transpose	0.25	0.1838018519	0.2289338404
fpga	transpose	0.239	0.1758814815	0.2323577669
fpga	transpose	0.219	0.1620555556	0.2375693973
fpga	transpose	0.200	0.1495555556	0.2427971923
fpga	transpose	0.180	0.1386018519	0.2287082031
fpga	transpose	0.170	0.1398814815	0.1793119955
fpga	transpose	0.160	0.1600055556	0
fpga	transpose	0.150	0.1495222222	0
fpga	transpose	0.133	0.1333388889	0
				
spinnaker	transpose	0.05	0.050	0.0000
spinnaker	transpose	0.1	0.100	0.0000
spinnaker	transpose	0.2	0.200	0.0001
spinnaker	transpose	0.3	0.089	0.6525
spinnaker	transpose	0.325	0.085	0.6750
spinnaker	transpose	0.35	0.084	0.6865
spinnaker	transpose	0.4	0.082	0.7046
spinnaker	transpose	0.45	0.083	0.7068
spinnaker	transpose	0.5	0.082	0.7080
spinnaker	transpose	0.55	0.083	0.7072
spinnaker	transpose	0.6	0.079	0.7163
spinnaker	transpose	0.7	0.078	0.7188
spinnaker	transpose	0.800	0.078	0.7183
				
				
tickysim	tornado	0.01	0.0101333333	0
tickysim	tornado	0.02	0.02	0
tickysim	tornado	0.0300187617	0.0298666667	0
tickysim	tornado	0.04	0.04	0
tickysim	tornado	0.05	0.0498666667	0
tickysim	tornado	0.0599250936	0.06	0
tickysim	tornado	0.0698689956	0.0698666667	0
tickysim	tornado	0.08	0.08	0
tickysim	tornado	0.0898876404	0.0898666667	0
tickysim	tornado	0.1	0.1	0
tickysim	tornado	0.1103448276	0.1104	0
tickysim	tornado	0.1203007519	0.1202666667	0
tickysim	tornado	0.1300813008	0.1301333333	0
tickysim	tornado	0.1403508772	0.1405333333	0
tickysim	tornado	0.1495327103	0.1495555556	0
tickysim	tornado	0.16	0.16	0
tickysim	tornado	0.170212766	0.0439111111	0.7414895005
tickysim	tornado	0.1797752809	0.0434666667	0.7521854808
tickysim	tornado	0.1904761905	0.0434666667	0.7558357259
tickysim	tornado	0.2	0.0434666667	0.7587438424
tickysim	tornado	0.2105263158	0.0434888889	0.7623497997
tickysim	tornado	0.2191780822	0.0434888889	0.7652351248
tickysim	tornado	0.2285714286	0.0434666667	0.7680919105
tickysim	tornado	0.2388059701	0.0434888889	0.7714419257
tickysim	tornado	0.25	0.0435111111	0.7810472141
tickysim	tornado	0.2580645161	0.0434444444	0.7835507407
tickysim	tornado	0.2711864407	0.0434666667	0.7728486819
tickysim	tornado	0.2807017544	0.0434888889	0.7730644414
tickysim	tornado	0.2909090909	0.0435333333	0.7826279637
tickysim	tornado	0.3018867925	0.0434888889	0.7773730936
tickysim	tornado	0.3076923077	0.0434888889	0.7843612335
tickysim	tornado	0.32	0.0434888889	0.7832059377
tickysim	tornado	0.3333333333	0.0434666667	0.7874606107
tickysim	tornado	0.3404255319	0.0434666667	0.783959458
tickysim	tornado	0.347826087	0.0434888889	0.7856751725
tickysim	tornado	0.3636363636	0.0434666667	0.7870511425
tickysim	tornado	0.3720930233	0.0434888889	0.7877670535
tickysim	tornado	0.380952381	0.0434666667	0.7886090998
tickysim	tornado	0.3902439024	0.0439777778	0.7889066667
tickysim	tornado	0.4	0.0434888889	0.7905630027
tickysim	tornado	0.4102564103	0.0434666667	0.7978745357
tickysim	tornado	0.4210526316	0.0439555556	0.7915086389
tickysim	tornado	0.4324324324	0.0434888889	0.8000613936
tickysim	tornado	0.4444444444	0.0435111111	0.7938263801
tickysim	tornado	0.4571428571	0.0439555556	0.7945362003
tickysim	tornado	0.4705882353	0.0434444444	0.7960588051
tickysim	tornado	0.4848484848	0.0434888889	0.7970969414
tickysim	tornado	0.5	0.0434888889	0.7984536082
tickysim	tornado	0.5161290323	0.0434666667	0.7956708146
tickysim	tornado	0.5333333333	0.0435111111	0.7953998955
tickysim	tornado	0.5517241379	0.0434888889	0.7957135389
tickysim	tornado	0.5714285714	0.0434888889	0.8000408914
tickysim	tornado	0.5925925926	0.0434888889	0.7996934083
tickysim	tornado	0.6153846154	0.0434888889	0.795692179
tickysim	tornado	0.64	0.0434666667	0.8002453486
tickysim	tornado	0.6666666667	0.0434666667	0.7999386629
tickysim	tornado	0.6956521739	0.0434666667	0.8034188034
tickysim	tornado	0.7272727273	0.0434666667	0.7953167468
tickysim	tornado	0.7619047619	0.0434666667	0.8
tickysim	tornado	0.8	0.0439777778	0.7956355362
tickysim	tornado	0.8421052632	0.0439777778	0.8030830433
tickysim	tornado	0.8888888889	0.0434888889	0.7953381415
tickysim	tornado	0.9411764706	0.0439555556	0.8030227702
tickysim	tornado	1	0.0439333333	0.8031222034
				
insee	tornado	0.1	0.1	0.000139
insee	tornado	0.11	0.10991	0.00092
insee	tornado	0.12	0.11891	0.009223
insee	tornado	0.13	0.11751	0.096152
insee	tornado	0.14	0.08874	0.366055
insee	tornado	0.15	0.06959	0.53611
insee	tornado	0.2	0.0405	0.797486
insee	tornado	0.25	0.02786	0.888509
insee	tornado	0.3	0.02372	0.917118
insee	tornado	0.35	0.02323	0.92151
insee	tornado	0.4	0.02304	0.924367
insee	tornado	0.45	0.023	0.925193
insee	tornado	0.5	0.02288	0.925338
insee	tornado	0.55	0.02288	0.925411
insee	tornado	0.6	0.02299	0.924751
insee	tornado	0.65	0.02295	0.925202
insee	tornado	0.7	0.02283	0.925511
insee	tornado	0.75	0.02299	0.924871
insee	tornado	0.8	0.02303	0.924626
insee	tornado	0.9	0.02292	0.925389
				
fpga	tornado	1	0.0415222222	0.80346208
fpga	tornado	0.8888888889	0.0437111111	0.7967505117
fpga	tornado	0.8	0.0337388889	0.8039655055
fpga	tornado	0.6956521739	0.0469203704	0.8021448357
fpga	tornado	0.5925925926	0.0382240741	0.8000693851
fpga	tornado	0.5	0.0439796296	0.8014942029
fpga	tornado	0.4	0.0465611111	0.7857363329
fpga	tornado	0.3720930233	0.0430185185	0.7927459754
fpga	tornado	0.3404255319	0.0379907407	0.7850542278
fpga	tornado	0.32	0.0534722222	0.7904427445
fpga	tornado	0.3018867925	0.0457962963	0.7861007918
fpga	tornado	0.2	0.0423703704	0.7613500779
fpga	tornado	0.1904761905	0.0424351852	0.7540862271
fpga	tornado	0.1797752809	0.0460425926	0.754140689
fpga	tornado	0.170	0.0434240741	0.7413419796
fpga	tornado	0.160	0.1600092593	0
fpga	tornado	0.150	0.14955	0
fpga	tornado	0.133	0.1333351852	0
				
spinnaker	tornado	0.05	0.050	0.0000
spinnaker	tornado	0.1	0.100	0.0000
spinnaker	tornado	0.2	0.151	0.2411
spinnaker	tornado	0.3	0.053	0.7688
spinnaker	tornado	0.325	0.053	0.7689
spinnaker	tornado	0.35	0.052	0.7788
spinnaker	tornado	0.4	0.052	0.7829
spinnaker	tornado	0.45	0.051	0.7899
spinnaker	tornado	0.5	0.052	0.7921
spinnaker	tornado	0.55	0.052	0.7926
spinnaker	tornado	0.6	0.052	0.7933
spinnaker	tornado	0.7	0.052	0.7940
spinnaker	tornado	0.800	0.052	0.7919
				
				
tickysim	complement	0.01	0.0101333333	0
tickysim	complement	0.02	0.02	0
tickysim	complement	0.0300187617	0.030037037	0
tickysim	complement	0.04	0.04	0
tickysim	complement	0.05	0.050037037	0
tickysim	complement	0.0599250936	0.0599851852	0
tickysim	complement	0.0698689956	0.0698666667	0
tickysim	complement	0.08	0.08	0
tickysim	complement	0.0898876404	0.0899407407	0
tickysim	complement	0.1	0.1	0
tickysim	complement	0.1103448276	0.1103333333	0
tickysim	complement	0.1203007519	0.1203111111	0
tickysim	complement	0.1300813008	0.1300888889	0
tickysim	complement	0.1403508772	0.1403851852	0
tickysim	complement	0.1495327103	0.1495259259	0
tickysim	complement	0.16	0.16	0
tickysim	complement	0.170212766	0.1702296296	0
tickysim	complement	0.1797752809	0.1798074074	0
tickysim	complement	0.1904761905	0.1905037037	0
tickysim	complement	0.2	0.2	0
tickysim	complement	0.2105263158	0.0372259259	0.8097950743
tickysim	complement	0.2191780822	0.0366444444	0.8170531481
tickysim	complement	0.2285714286	0.0364037037	0.8223925659
tickysim	complement	0.2388059701	0.0373666667	0.8227783632
tickysim	complement	0.25	0.0373037037	0.8268196857
tickysim	complement	0.2580645161	0.036862963	0.8310231919
tickysim	complement	0.2711864407	0.036862963	0.8354248301
tickysim	complement	0.2807017544	0.0372518519	0.836621455
tickysim	complement	0.2909090909	0.0370407407	0.8409600611
tickysim	complement	0.3018867925	0.0371518519	0.8432178876
tickysim	complement	0.3076923077	0.0373666667	0.8443242077
tickysim	complement	0.32	0.0374	0.8474794044
tickysim	complement	0.3333333333	0.0365555556	0.8536570912
tickysim	complement	0.3404255319	0.0365851852	0.8551011434
tickysim	complement	0.347826087	0.0359555556	0.85930035
tickysim	complement	0.3636363636	0.0370296296	0.8588421216
tickysim	complement	0.3720930233	0.0370592593	0.8609298248
tickysim	complement	0.380952381	0.0372074074	0.8620461955
tickysim	complement	0.3902439024	0.0374666667	0.8628024715
tickysim	complement	0.4	0.0366814815	0.8661390693
tickysim	complement	0.4102564103	0.0370518519	0.8662444213
tickysim	complement	0.4210526316	0.0373148148	0.865701049
tickysim	complement	0.4324324324	0.0366407407	0.868165023
tickysim	complement	0.4444444444	0.0370555556	0.8673858372
tickysim	complement	0.4571428571	0.0369	0.8672981362
tickysim	complement	0.4705882353	0.0370888889	0.8676585231
tickysim	complement	0.4848484848	0.0370333333	0.8675884355
tickysim	complement	0.5	0.0363074074	0.8697056712
tickysim	complement	0.5161290323	0.0372814815	0.8663239416
tickysim	complement	0.5333333333	0.0370296296	0.8672194216
tickysim	complement	0.5517241379	0.0368259259	0.8683171727
tickysim	complement	0.5714285714	0.0370296296	0.8682802078
tickysim	complement	0.5925925926	0.037037037	0.868001586
tickysim	complement	0.6153846154	0.037037037	0.8680266005
tickysim	complement	0.64	0.0366703704	0.8682005586
tickysim	complement	0.6666666667	0.0368851852	0.8686699247
tickysim	complement	0.6956521739	0.0374666667	0.8664886868
tickysim	complement	0.7272727273	0.0373851852	0.8665503015
tickysim	complement	0.7619047619	0.0368777778	0.8682657705
tickysim	complement	0.8	0.0366962963	0.8691613483
tickysim	complement	0.8421052632	0.0371481481	0.8669603641
tickysim	complement	0.8888888889	0.0370074074	0.8682758803
tickysim	complement	0.9411764706	0.0368703704	0.8689111937
tickysim	complement	1	0.0377111111	0.8658711657
				
insee	complement	0.1	0.10002	0.000101
insee	complement	0.12	0.11999	0.000246
insee	complement	0.14	0.13986	0.000819
insee	complement	0.15	0.14851	0.010062
insee	complement	0.16	0.10969	0.314381
insee	complement	0.18	0.09092	0.494726
insee	complement	0.2	0.04784	0.759629
insee	complement	0.25	0.03352	0.860737
insee	complement	0.3	0.0317	0.88204
insee	complement	0.35	0.03164	0.890863
insee	complement	0.4	0.03165	0.896711
insee	complement	0.45	0.03164	0.897962
insee	complement	0.5	0.03166	0.89793
insee	complement	0.55	0.03164	0.897995
insee	complement	0.6	0.03164	0.898005
insee	complement	0.65	0.03164	0.897991
insee	complement	0.7	0.03163	0.898004
insee	complement	0.75	0.03165	0.897975
insee	complement	0.8	0.03165	0.897961
insee	complement	0.9	0.03164	0.897995
				
fpga	complement	1	0.0368740741	0.8693386006
fpga	complement	0.8888888889	0.0369962963	0.8682063785
fpga	complement	0.8	0.0369537037	0.8660119256
fpga	complement	0.6956521739	0.0366518519	0.8663942136
fpga	complement	0.5925925926	0.0366518519	0.8663942136
fpga	complement	0.5	0.0362462963	0.8676683924
fpga	complement	0.4	0.0364611111	0.8656284566
fpga	complement	0.3720930233	0.0368481481	0.8601390813
fpga	complement	0.3404255319	0.0370111111	0.8528305752
fpga	complement	0.32	0.0373296296	0.8495181224
fpga	complement	0.3018867925	0.0370055556	0.8433673748
fpga	complement	0.2807017544	0.0364222222	0.8366492147
fpga	complement	0.25	0.0372296296	0.8277064949
fpga	complement	0.2285714286	0.0370407407	0.8189081345
fpga	complement	0.211	0.0371407407	0.811658182
fpga	complement	0.200	0.2000074074	0
fpga	complement	0.160	0.1600092593	0
fpga	complement	0.133	0.1333351852	0
				
spinnaker	complement	0.05	0.050	0
spinnaker	complement	0.1	0.100	0
spinnaker	complement	0.2	0.117	0.4023580978
spinnaker	complement	0.3	0.166	0.3832831625
spinnaker	complement	0.325	0.178	0.3803824002
spinnaker	complement	0.35	0.191	0.3749382105
spinnaker	complement	0.4	0.038	0.8635101124
spinnaker	complement	0.45	0.038	0.8653788104
spinnaker	complement	0.5	0.038	0.8657681737
spinnaker	complement	0.55	0.038	0.8642244445
spinnaker	complement	0.6	0.038	0.8643487538
spinnaker	complement	0.700	0.038	0.8653690256
spinnaker	complement	0.800	0.038	0.864469259

