group	sample	distribution	allow_local	periodic_interval	node_x	node_y	packets_accepted	packets_arrived	packets_dropped	packets_forwarded
222	1	tornado	True	53	9	9	652	0	652	1956
222	1	tornado	True	53	10	9	653	653	480	1958
222	1	tornado	True	53	11	9	1132	0	0	1132
0	0	0	0	0	12	9	0	0	0	0

222	1	tornado	True	53	0	10	1132	0	480	653
222	1	tornado	True	53	1	10	652	652	652	1304
222	1	tornado	True	53	2	10	652	652	653	1957
222	1	tornado	True	53	3	10	652	0	652	1956
222	1	tornado	True	53	4	10	653	0	653	1957
222	1	tornado	True	53	5	10	652	0	652	1956
222	1	tornado	True	53	6	10	652	0	652	1956
222	1	tornado	True	53	7	10	652	0	652	1956
222	1	tornado	True	53	8	10	652	0	652	1957
222	1	tornado	True	53	9	10	652	0	652	1956
222	1	tornado	True	53	10	10	653	653	480	1958
222	1	tornado	True	53	11	10	1132	0	0	1132
0	0	0	0	0	12	10	0	0	0	0

222	1	tornado	True	53	0	11	1132	0	480	653
222	1	tornado	True	53	1	11	652	652	652	1304
222	1	tornado	True	53	2	11	652	652	653	1957
222	1	tornado	True	53	3	11	652	0	652	1956
222	1	tornado	True	53	4	11	653	0	653	1957
222	1	tornado	True	53	5	11	652	0	652	1956
222	1	tornado	True	53	6	11	652	0	652	1956
222	1	tornado	True	53	7	11	652	0	652	1956
222	1	tornado	True	53	8	11	652	0	652	1957
222	1	tornado	True	53	9	11	652	0	652	1956
222	1	tornado	True	53	10	11	653	653	480	1958
222	1	tornado	True	53	11	11	1132	0	0	1132
0	0	0	0	0	12	11	0	0	0	0

0	0	0	0	0	0	12	0	0	0	0
0	0	0	0	0	1	12	0	0	0	0
0	0	0	0	0	2	12	0	0	0	0
0	0	0	0	0	3	12	0	0	0	0
0	0	0	0	0	4	12	0	0	0	0
0	0	0	0	0	5	12	0	0	0	0
0	0	0	0	0	6	12	0	0	0	0
0	0	0	0	0	7	12	0	0	0	0
0	0	0	0	0	8	12	0	0	0	0
0	0	0	0	0	9	12	0	0	0	0
0	0	0	0	0	10	12	0	0	0	0
0	0	0	0	0	11	12	0	0	0	0
0	0	0	0	0	12	12	0	0	0	0
