injection_rate	accepted_load	dropped
0.05	0.050	0.0000
0.1	0.100	0.0000
0.2	0.200	0.0001
0.3	0.089	0.6525
0.325	0.085	0.6750
0.35	0.084	0.6865
0.4	0.082	0.7046
0.45	0.083	0.7068
0.5	0.082	0.7080
0.55	0.083	0.7072
0.6	0.079	0.7163
0.7	0.078	0.7188
0.800	0.078	0.7183
