injection_rate	accepted_load	dropped
0.05	0.050	0.0000
0.1	0.100	0.0000
0.2	0.151	0.2411
0.3	0.053	0.7688
0.325	0.053	0.7689
0.35	0.052	0.7788
0.4	0.052	0.7829
0.45	0.051	0.7899
0.5	0.052	0.7921
0.55	0.052	0.7926
0.6	0.052	0.7933
0.7	0.052	0.7940
0.800	0.052	0.7919
