% This file contains dummy values for a thirtheenth row/column of chips. These
% are included as a bodge to make pgfplots produce actual heatmaps...
group	sample	distribution	allow_local	periodic_interval	node_x	node_y	packets_accepted	packets_arrived	packets_dropped	packets_forwarded
202	1	tornado	True	160	8	9	375	375	0	3000
202	1	tornado	True	160	9	9	375	375	0	2250
202	1	tornado	True	160	10	9	375	375	0	1500
202	1	tornado	True	160	11	9	375	375	0	750
0	0	0	0	0	12	9	0	0	0	0

202	1	tornado	True	160	0	10	375	375	0	750
202	1	tornado	True	160	1	10	375	375	0	1500
202	1	tornado	True	160	2	10	375	375	0	2250
202	1	tornado	True	160	3	10	375	375	0	3000
202	1	tornado	True	160	4	10	375	375	0	3750
202	1	tornado	True	160	5	10	375	375	0	4500
202	1	tornado	True	160	6	10	375	375	0	4500
202	1	tornado	True	160	7	10	375	375	0	3750
202	1	tornado	True	160	8	10	375	375	0	3000
202	1	tornado	True	160	9	10	375	375	0	2250
202	1	tornado	True	160	10	10	375	375	0	1500
202	1	tornado	True	160	11	10	375	375	0	750
0	0	0	0	0	12	10	0	0	0	0

202	1	tornado	True	160	0	11	375	375	0	750
202	1	tornado	True	160	1	11	375	375	0	1500
202	1	tornado	True	160	2	11	375	375	0	2250
202	1	tornado	True	160	3	11	375	375	0	3000
202	1	tornado	True	160	4	11	375	375	0	3750
202	1	tornado	True	160	5	11	375	375	0	4500
202	1	tornado	True	160	6	11	375	375	0	4500
202	1	tornado	True	160	7	11	375	375	0	3750
202	1	tornado	True	160	8	11	375	375	0	3000
202	1	tornado	True	160	9	11	375	375	0	2250
202	1	tornado	True	160	10	11	375	375	0	1500
202	1	tornado	True	160	11	11	375	375	0	750
0	0	0	0	0	12	11	0	0	0	0

0	0	0	0	0	0	12	0	0	0	0
0	0	0	0	0	1	12	0	0	0	0
0	0	0	0	0	2	12	0	0	0	0
0	0	0	0	0	3	12	0	0	0	0
0	0	0	0	0	4	12	0	0	0	0
0	0	0	0	0	5	12	0	0	0	0
0	0	0	0	0	6	12	0	0	0	0
0	0	0	0	0	7	12	0	0	0	0
0	0	0	0	0	8	12	0	0	0	0
0	0	0	0	0	9	12	0	0	0	0
0	0	0	0	0	10	12	0	0	0	0
0	0	0	0	0	11	12	0	0	0	0
0	0	0	0	0	12	12	0	0	0	0
