injection_rate	accepted_load	dropped
0.01	0.0101333333	0
0.02	0.02	0
0.0300187617	0.0300888889	0
0.04	0.04	0
0.05	0.0500777778	0
0.0599250936	0.0598555556	0
0.0698689956	0.0698666667	0
0.08	0.08	0
0.0898876404	0.0899388889	0
0.1	0.1	0
0.1103448276	0.1105166667	0
0.1203007519	0.1203444444	0
0.1300813008	0.1301888889	0
0.1403508772	0.1402888889	0
0.1495327103	0.1494777778	0
0.16	0.1599833333	0
0.170212766	0.1703722222	0
0.1797752809	0.1797777778	0
0.1904761905	0.1904944444	0
0.2	0.2000166667	0
0.2105263158	0.2105777778	0
0.2191780822	0.2191166667	0
0.2285714286	0.2286388889	0
0.2388059701	0.2387722222	0
0.25	0.2499666667	0
0.2580645161	0.2580722222	0
0.2711864407	0.2710722222	0
0.2807017544	0.2808111111	0
0.2909090909	0.2908833333	0
0.3018867925	0.30195	0
0.3076923077	0.3079166667	0
0.32	0.3199666667	0
0.3333333333	0.3336277778	0
0.3404255319	0.3401555556	0.0004404855
0.347826087	0.3412944444	0.0178936605
0.3636363636	0.1810444444	0.4411759664
0.3720930233	0.1829444444	0.443868068
0.380952381	0.1833444444	0.4490891755
0.3902439024	0.1855944444	0.4494555997
0.4	0.1840611111	0.4579544711
0.4102564103	0.1852055556	0.4628107167
0.4210526316	0.1856166667	0.4682135236
0.4324324324	0.1852388889	0.4742614039
0.4444444444	0.1866388889	0.4791343709
0.4571428571	0.1853444444	0.4882518148
0.4705882353	0.1883111111	0.4894381073
0.4848484848	0.1904388889	0.4911240846
0.5	0.1870333333	0.5006379065
0.5161290323	0.1883777778	0.5020785898
0.5333333333	0.1886888889	0.5048472921
0.5517241379	0.189	0.5073893767
0.5714285714	0.18885	0.508393216
0.5925925926	0.1891777778	0.5099384421
0.6153846154	0.1896333333	0.5101706837
0.64	0.1882722222	0.5133520075
0.6666666667	0.1877166667	0.5142758561
0.6956521739	0.1869	0.516707592
0.7272727273	0.1874277778	0.5168094924
0.7619047619	0.1888111111	0.5153990932
0.8	0.1888222222	0.5151973299
0.8421052632	0.1904333333	0.5130275334
0.8888888889	0.1901611111	0.514388285
0.9411764706	0.1903	0.5142350521
1	0.1897555556	0.5155127878
